,type,central,federated,federated + secure aggregation,dataset
0,central,1.0,0.9965970587333072,0.9896710396472612,brca
1,federated,0.9965970587333072,1.0,0.9884106549059982,brca
2,federated + secure aggregation,0.9896710396472612,0.9884106549059982,1.0,brca
0,central,1.0,0.9954868826373724,0.9932319961206366,gbsg2
1,federated,0.9954868826373724,1.0,0.9889169242887804,gbsg2
2,federated + secure aggregation,0.9932319961206366,0.9889169242887804,1.0,gbsg2
0,central,1.0,0.9791953549000062,0.9637728146174214,microbiome
1,federated,0.9791953549000062,1.0,0.9621833787072418,microbiome
2,federated + secure aggregation,0.9637728146174214,0.9621833787072418,1.0,microbiome
0,central,1.0,0.9921298508861564,0.9940434694291008,whas500
1,federated,0.9921298508861564,1.0,0.9930072904880792,whas500
2,federated + secure aggregation,0.9940434694291008,0.9930072904880792,1.0,whas500
